model,metric,mean,std,ci_low,ci_high,n_seeds,ci_level,method
GAT,hits10,0.5322972817983713,0.015469477134405975,0.512937263447643,0.5404909887672781,5,0.95,bootstrap
GAT,ari,0.04105096113147052,0.01965701902971584,0.02709934412825214,0.05806800391766068,5,0.95,bootstrap
GCN,auc,0.9148862775491617,0.007699917265093578,0.9084336225355385,0.9205517163220286,5,0.95,bootstrap
GCN,ap,0.9171866084162005,0.009978861893345885,0.9093577274554061,0.9250154893769947,5,0.95,bootstrap
GCN,f1,0.8375251288963923,0.007831089561507958,0.8306886481024675,0.8427489738112065,5,0.95,bootstrap
GCN,precision,0.8146825792157115,0.012273253531693609,0.8023476539343376,0.8216682232644796,5,0.95,bootstrap
GCN,recall,0.8618304851473793,0.01052222225976895,0.855247161371717,0.8718660396834499,5,0.95,bootstrap
GCN,mrr,0.4271943237437562,0.04413774555984987,0.3694961817506656,0.45034876799569823,5,0.95,bootstrap
GCN,hits1,0.3273884619795848,0.05176770949271287,0.2602362656267921,0.3543640325725427,5,0.95,bootstrap
GCN,hits5,0.5327560500057346,0.034696345626096914,0.4872233054249341,0.5501663034751691,5,0.95,bootstrap
GCN,hits10,0.6146461750200711,0.02571908207786754,0.5815804564743663,0.6282945291891272,5,0.95,bootstrap
GCN,ari,0.1432970156154149,0.012057983463495512,0.13580243386467053,0.15505706793875598,5,0.95,bootstrap
GraphSAGE,auc,0.882105019693187,0.004216287305299109,0.8787168192993509,0.8851941940065714,5,0.95,bootstrap
GraphSAGE,ap,0.8933419687945058,0.006722810727981589,0.8891499631950189,0.8996259899259144,5,0.95,bootstrap
GraphSAGE,f1,0.8011050324666448,0.005323378526917858,0.797382169899136,0.8062079803173674,5,0.95,bootstrap
GraphSAGE,precision,0.8235198094841973,0.009850909733899849,0.8137372497267608,0.8296350871110342,5,0.95,bootstrap
GraphSAGE,recall,0.7799403601330427,0.00544932101156656,0.7739304966165845,0.7833237756623467,5,0.95,bootstrap
GraphSAGE,mrr,0.2973013311581513,0.028808539807432507,0.28263438015041453,0.3346396015877463,5,0.95,bootstrap
GraphSAGE,hits1,0.18923041633214818,0.02616117908848083,0.17627021447413696,0.22386741598807203,5,0.95,bootstrap
GraphSAGE,hits5,0.4102878770501204,0.04023637230248589,0.38831287991742175,0.45117559353136827,5,0.95,bootstrap
GraphSAGE,hits10,0.5214015368734948,0.030553632180114147,0.5042091983025576,0.5577703865122147,5,0.95,bootstrap
GraphSAGE,ari,0.22497958131722973,0.04083674148743213,0.19401712025466694,0.2547357745806022,5,0.95,bootstrap
RGCN,auc,0.8566149094721389,0.0031761389769305176,0.8540688432628469,0.8589414115667389,5,0.95,bootstrap
RGCN,ap,0.8629118491285512,0.004829307234927957,0.857191208038703,0.8654279075340205,5,0.95,bootstrap
RGCN,f1,0.7834955145289582,0.00346144684377562,0.7790863091621122,0.7853758799497104,5,0.95,bootstrap
RGCN,precision,0.762123999796261,0.009681274600317646,0.7530259854634824,0.7681577070938456,5,0.95,bootstrap
RGCN,recall,0.8063080628512443,0.011215041347923269,0.7995756394081891,0.8174102534694345,5,0.95,bootstrap
RGCN,mrr,0.17242415937945227,0.003819895664420305,0.16837809110608554,0.1747241898522482,5,0.95,bootstrap
RGCN,hits1,0.08358756738158046,0.0038882550892029573,0.07969950682417708,0.08604197729097375,5,0.95,bootstrap
RGCN,hits5,0.2504989104255075,0.004403226388403546,0.24656497304736785,0.25350384218373667,5,0.95,bootstrap
